wychylenie_mm,aL_25,aL_20,aL_15,aL_10,aL_5,aS_25,aS_20,aS_15,aS_10,aS_5,fed
10,0.021,0.03,0.043,0.067,0.124,0.021,0.031,0.044,0.067,0.136,0.027
20,0.052,0.067,0.091,0.145,0.283,0.046,0.064,0.089,0.136,0.278,0.053
30,0.088,0.105,0.14,0.21,0.43,0.072,0.1,0.137,0.209,0.423,0.08
40,0.112,0.142,0.193,0.28,0.574,0.101,0.136,0.187,0.28,0.568,0.106
50,0.135,0.183,0.243,0.348,0.72,0.132,0.176,0.237,0.356,0.712,0.133
60,0.17,0.207,0.283,0.437,0.852,0.164,0.217,0.288,0.433,0.857,0.159
70,0.196,0.257,0.34,0.5,1.011,0.197,0.259,0.34,0.511,1.007,0.186
80,0.232,0.292,0.382,0.592,1.174,0.234,0.302,0.393,0.59,1.154,0.212
90,0.268,0.34,0.44,0.66,1.313,0.273,0.348,0.447,0.671,1.301,0.239
100,0.297,0.375,0.497,0.75,1.46,0.311,0.394,0.502,0.752,1.451,0.265
